sample_name,BRCA1_mut_count,BRCA2_mut_count,missense_count,synonymous_count,intron_count,splice_count,total_mutations,label
SRR24518701,15,11,18,9,174,1,272,1
SRR24518702,17,14,12,10,317,2,487,1
SRR24518703,1,7,10,6,121,0,205,1
SRR24518704,1,10,11,6,270,2,458,1
SRR24518705,1,12,11,10,390,2,624,1
SRR24518706,13,15,13,11,181,2,295,1
SRR24518707,11,9,13,8,184,2,289,1
SRR24518708,0,14,12,7,204,1,306,1
SRR24518709,2,13,8,5,265,1,401,1
SRR24518710,12,8,15,8,186,0,311,1
SRR24518778,4,10,10,6,341,3,544,1
SRR24518779,8,10,14,8,225,3,382,1
SRR24518780,2,12,13,7,269,0,504,1
SRR24518781,1,6,11,7,330,1,521,1
SRR24518782,0,11,11,7,249,2,410,1
SRR24518783,11,10,16,16,295,1,469,1
SRR24518784,0,8,11,5,164,2,259,1
SRR24518785,11,12,11,10,129,2,186,1
SRR24518786,1,11,9,11,179,1,292,1
SRR24518787,0,15,12,8,188,1,281,1
SRR24518788,3,15,8,5,165,2,255,1
SRR24518789,9,9,11,8,129,3,209,1
SRR24518790,8,16,15,11,220,2,325,1
SRR24518791,7,13,11,6,378,1,652,1
SRR24518792,13,9,15,11,250,0,389,1
SRR24518793,9,8,13,8,165,2,246,1
SRR24518794,5,9,12,6,86,1,129,1
SRR24518795,1,13,10,6,154,1,272,1
SRR24518796,2,11,9,7,248,0,405,1
SRR24518797,1,12,10,8,269,1,455,1
SRR24518798,13,10,14,10,243,3,383,1
SRR24518799,4,19,16,11,259,2,416,1
SRR24518800,3,21,16,7,377,2,597,1
SRR24518801,12,9,16,8,282,1,440,1
SRR24518802,2,11,12,8,212,1,390,1
SRR24518803,0,18,12,8,287,3,435,1
SRR24518804,13,13,15,10,243,2,420,1
SRR32353625,7,0,8,9,990,3,2033,0
SRR32353626,0,0,3,3,206,0,393,0
SRR32353627,4,0,10,4,671,6,1402,0
SRR32353628,1,1,8,9,740,1,1517,0
SRR32353629,2,0,7,4,903,1,1810,0
SRR32353630,2,0,9,7,827,2,1612,0
SRR32353631,6,0,8,5,752,6,1606,0
SRR32353632,1,0,4,5,508,5,1059,0
SRR32353633,0,2,2,3,538,2,1026,0
SRR32353634,0,0,3,3,616,1,1271,0
SRR32353635,5,0,5,4,778,2,1555,0
SRR32353636,0,1,4,1,632,0,1304,0
SRR32353637,0,1,3,2,280,0,581,0
SRR32353638,3,2,3,0,871,6,1815,0
SRR32353639,0,0,6,7,739,5,1461,0
SRR32353640,0,0,5,2,598,0,1182,0
SRR32353641,0,0,2,0,443,0,909,0
SRR32353642,0,0,0,0,89,0,204,0
SRR32353643,2,1,4,9,1021,4,2022,0
SRR32353644,3,0,7,3,425,1,861,0
SRR32353645,1,0,4,5,640,4,1302,0
SRR32353646,3,0,8,7,719,1,1466,0
SRR32353647,3,0,9,2,658,3,1393,0
SRR32353648,0,0,4,6,511,0,1099,0
SRR32353649,2,1,10,5,625,3,1226,0
SRR5109807,2,14,2,4,24,1,47,0
SRR5109808,5,11,3,5,15,1,36,0
SRR5109809,14,10,7,6,40,0,60,0
SRR5109810,16,16,8,8,38,1,69,0
SRR5109811,15,15,8,10,45,1,69,0
SRR5109812,13,11,6,7,22,1,44,0
SRR5109813,15,13,11,8,32,0,56,0
SRR5109814,11,6,7,5,27,0,41,0
SRR5109815,15,10,8,6,27,0,45,0
SRR5109816,13,18,8,8,42,1,76,0
